time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,cv/rollout_cv_value,time/fps,cv/rollout_cv_count,time/total_timesteps,time/time_elapsed,train/learning_rate,train/critic_loss,train/actor_loss,train/n_updates
180,-14.378659289999998,50.0,5627.507640358061,448,7922,9000,20,,,,
184,-14.553267199999995,50.0,5754.506352946162,448,8096,9200,20,,,,
188,-14.614994049999998,50.0,5881.693228818476,448,8275,9400,20,,,,
192,-14.559473809999997,50.0,6009.845445822924,449,8457,9600,21,,,,
196,-14.582981369999997,50.0,6128.147258806974,451,8635,9800,21,,,,
200,-14.47062505,50.0,6251.876807328314,452,8813,10000,22,,,,
204,-14.46275975,50.0,6518.438282229006,437,8963,10200,23,0.001,0.005404189331457019,0.3820672160387039,150
208,-14.374117100000001,50.0,6882.453280188143,423,9163,10400,24,0.001,0.002747955210506916,0.40346001982688906,350
212,-14.145357049999998,50.0,7242.120188809931,408,9363,10600,25,0.001,0.0016369131486862899,0.3278924602270126,550
216,-14.091398340000003,50.0,7604.681961752474,397,9563,10800,27,0.001,0.0010867075831629336,0.5396380281448364,750
220,-13.916626229999999,50.0,7967.168623782694,384,9763,11000,28,0.001,0.0011152573698200285,0.8477032232284546,950
224,-14.039498429999998,50.0,8178.43076877296,374,9951,11200,29,0.001,0.0013851039775181562,0.9164383494853974,1150
228,-14.03482161,50.0,8416.9700794667,365,10151,11400,31,0.001,0.0014292640995699913,0.9818350040912628,1350
232,-13.82843555,50.0,8517.016931034625,358,10324,11600,32,0.001,0.00191474090795964,1.0351174700260162,1550
236,-13.75658775,50.0,8538.812080688775,353,10387,11800,33,0.001,0.0030662545934319494,1.2236928820610047,1750
240,-13.54041813,50.0,8559.84421433881,348,10450,12000,34,0.001,0.0011984166817273945,1.4099669766426086,1950
244,-13.49024074,50.0,8565.932593762875,344,10470,12200,35,0.001,0.0013061597535852342,1.588400776386261,2150
248,-13.392555220000002,50.0,8571.218386232853,340,10486,12400,36,0.001,0.001724041331326589,1.7760094785690308,2350
252,-13.192283460000004,50.0,8577.554578054696,338,10511,12600,37,0.001,0.0012389750813599676,1.9337101125717162,2550
256,-12.980447689999998,50.0,8580.495693348348,335,10521,12800,38,0.001,0.0021192322950810195,2.1101997184753416,2750
260,-12.68246824,50.0,8583.844591487199,332,10532,13000,39,0.001,0.0020987899985630064,2.2383488607406616,2950
264,-12.20179816,50.0,8586.939771551639,329,10544,13200,40,0.001,0.0015885869378689677,2.354578442573547,3150
268,-12.209604970000001,50.0,8597.099394347519,325,10582,13400,41,0.001,0.0019567810581065715,2.5030243015289306,3350
272,-12.139967450000002,50.0,8604.092337291688,323,10611,13600,42,0.001,0.0030384704540483655,2.6331762313842773,3550
276,-11.864617360000002,50.0,8608.081014670432,321,10622,13800,42,0.001,0.0031691713770851493,2.710418496131897,3750
280,-11.574766749999998,50.0,8610.243235096335,319,10628,14000,43,0.001,0.0023266191408038137,2.820264706611633,3950
284,-11.242299819999998,50.0,8615.467634458095,317,10644,14200,44,0.001,0.0029059418849647044,2.8971012926101682,4150
