time/time_elapsed,time/episodes,rollout/ep_len_mean,time/fps,cv/rollout_cv_value,time/total_timesteps,cv/rollout_cv_count,rollout/ep_rew_mean,train/n_updates,train/actor_loss,train/learning_rate,train/critic_loss
848,3856,50.0,227,18500.93590144813,192800,27224,-5.597651199999999,182750,1.749108383655548,0.001,0.003928007038775831
848,3860,50.0,227,18508.831195689738,193000,27241,-5.535163379999999,182950,1.769613628387451,0.001,0.004036109382286668
849,3864,50.0,227,18516.3343061395,193200,27257,-5.533766000000001,183150,1.751173369884491,0.001,0.003132336768321693
850,3868,50.0,227,18526.63011823222,193400,27277,-5.555058459999999,183350,1.7416539764404297,0.001,0.005766705325804651
851,3872,50.0,227,18539.433587297797,193600,27295,-5.61519369,183550,1.7276877403259276,0.001,0.0038097585458308457
852,3876,50.0,227,18555.157056301832,193800,27326,-5.713544380000001,183750,1.7596250343322755,0.001,0.004058985975570977
853,3880,50.0,227,18562.16593215242,194000,27342,-5.66842537,183950,1.748664391040802,0.001,0.0038931669923476875
853,3884,50.0,227,18567.828093245625,194200,27352,-5.671915999999998,184150,1.781995096206665,0.001,0.004420414378400892
854,3888,50.0,227,18577.19545505941,194400,27373,-5.6833516600000005,184350,1.7503061366081238,0.001,0.003979194681160152
855,3892,50.0,227,18586.603413119912,194600,27388,-5.71931195,184550,1.7559902453422547,0.001,0.003199874998535961
856,3896,50.0,227,18590.871662374586,194800,27396,-5.644674450000001,184750,1.7669011497497558,0.001,0.004746620967052877
857,3900,50.0,227,18598.149386569858,195000,27408,-5.6206480700000006,184950,1.7699581813812255,0.001,0.00402717899531126
857,3904,50.0,227,18611.745389528573,195200,27431,-5.65354511,185150,1.7574637341499328,0.001,0.00531064388807863
858,3908,50.0,227,18615.80896097049,195400,27442,-5.651752749999999,185350,1.7482924342155457,0.001,0.004267519237473607
859,3912,50.0,227,18626.286191340536,195600,27462,-5.633965399999999,185550,1.781712167263031,0.001,0.004397370088845491
860,3916,50.0,227,18634.746037311852,195800,27479,-5.69819149,185750,1.7574773049354553,0.001,0.0034514381526969374
861,3920,50.0,227,18644.630782369524,196000,27494,-5.680021090000001,185950,1.7602262806892395,0.001,0.004794852673076094
862,3924,50.0,227,18658.035649433732,196200,27511,-5.63535043,186150,1.7377253293991088,0.001,0.0052084428118541835
862,3928,50.0,227,18671.222110956907,196400,27532,-5.62162638,186350,1.7391468787193298,0.001,0.004619611478410661
863,3932,50.0,227,18681.584062118083,196600,27550,-5.60880404,186550,1.756785852909088,0.001,0.003562358671333641
864,3936,50.0,227,18695.42248949781,196800,27573,-5.626189559999999,186750,1.7940741634368897,0.001,0.004509349851869047
865,3940,50.0,227,18706.60316677764,197000,27590,-5.608959500000001,186950,1.780322253704071,0.001,0.00484953212318942
866,3944,50.0,227,18710.60891673714,197200,27602,-5.5883055000000015,187150,1.7649935340881349,0.001,0.0030661302292719485
866,3948,50.0,227,18718.149094436318,197400,27618,-5.518080729999999,187350,1.7499568581581115,0.001,0.003736321413889527
867,3952,50.0,227,18734.005056556314,197600,27643,-5.551494329999998,187550,1.7665014338493348,0.001,0.004162823196966201
868,3956,50.0,227,18743.656712971628,197800,27663,-5.520876049999999,187750,1.77791002035141,0.001,0.003697874308563769
869,3960,50.0,227,18754.611553549767,198000,27679,-5.499116389999999,187950,1.759916868209839,0.001,0.003978008981794119
