time/total_timesteps,cv/rollout_cv_value,cv/rollout_cv_count,time/episodes,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,train/actor_loss,train/learning_rate,train/n_updates,train/critic_loss
218000,21339.482208508998,28748,4360,-4.9562034,1010,215,50.0,1.4119342255592346,0.001,207950,0.002068034920375794
218200,21347.84646671638,28762,4364,-4.93877383,1011,215,50.0,1.4305563712120055,0.001,208150,0.0016946099954657256
218400,21360.483139608055,28780,4368,-4.9736128,1012,215,50.0,1.4446592617034912,0.001,208350,0.0013166930933948607
218600,21368.11480917409,28791,4372,-4.983593169999999,1013,215,50.0,1.4206259226799012,0.001,208550,0.001194523066515103
218800,21387.378675881773,28810,4376,-5.000374039999999,1014,215,50.0,1.406948070526123,0.001,208750,0.0018746054195798933
219000,21402.94930408895,28829,4380,-4.98159908,1015,215,50.0,1.430242142677307,0.001,208950,0.0017570741556119174
219200,21415.94287563488,28843,4384,-4.99002908,1016,215,50.0,1.4196094799041747,0.001,209150,0.0010293871443718672
219400,21427.755854774266,28858,4388,-4.96029961,1017,215,50.0,1.428851878643036,0.001,209350,0.0011842845554929226
219600,21445.422761693597,28881,4392,-5.02572572,1018,215,50.0,1.4095380926132202,0.001,209550,0.001157572150696069
219800,21461.393970053643,28896,4396,-5.0402169599999995,1019,215,50.0,1.4049054312705993,0.001,209750,0.001225898255361244
220000,21473.285691790283,28916,4400,-5.03308608,1020,215,50.0,1.4037631225585938,0.001,209950,0.0011784423713106663
220200,21482.245964039117,28931,4404,-5.02607682,1021,215,50.0,1.407427086830139,0.001,210150,0.0014476283104158938
220400,21498.14627576247,28951,4408,-5.04169379,1022,215,50.0,1.3919263243675233,0.001,210350,0.0012152273231185973
220600,21501.622186399996,28958,4412,-4.971134170000001,1023,215,50.0,1.391134557723999,0.001,210550,0.0027529130678158255
220800,21517.125250592828,28977,4416,-4.95909534,1024,215,50.0,1.396901080608368,0.001,210750,0.0014447339333128184
221000,21536.86154359579,29000,4420,-4.98813105,1025,215,50.0,1.4028817176818849,0.001,210950,0.0013018133526202292
221200,21545.609316211194,29015,4424,-4.98454722,1026,215,50.0,1.4048156833648682,0.001,211150,0.0011673374974634498
221400,21563.77377615124,29037,4428,-5.04343431,1027,215,50.0,1.3930401182174683,0.001,211350,0.001318490687990561
221600,21576.228653743863,29054,4432,-5.0779731,1028,215,50.0,1.4050887632369995,0.001,211550,0.001834461020771414
221800,21586.023596990854,29068,4436,-5.038317770000001,1028,215,50.0,1.3849224543571472,0.001,211750,0.0011634952411986887
222000,21614.658573959023,29099,4440,-5.070685650000001,1029,215,50.0,1.3887779498100281,0.001,211950,0.001130656625609845
222200,21643.335825532675,29132,4444,-5.1403332299999995,1030,215,50.0,1.3624472308158875,0.001,212150,0.001156238247640431
222400,21653.580960176885,29149,4448,-5.16078364,1031,215,50.0,1.374847342967987,0.001,212350,0.0012925614765845238
222600,21663.769520781934,29167,4452,-5.160405620000001,1032,215,50.0,1.3819088697433473,0.001,212550,0.0017744728573597967
222800,21682.884685777128,29192,4456,-5.22456992,1033,215,50.0,1.365796558856964,0.001,212750,0.001199396993033588
