cv/rollout_cv_value,cv/rollout_cv_count,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/fps,time/episodes,time/time_elapsed,train/critic_loss,train/learning_rate,train/n_updates,train/actor_loss
13597.292897012085,18240,50.0,-5.3059312,100800,236,2016,425,0.003169611159246415,0.001,90750,1.951757333278656
13618.398749370128,18264,50.0,-5.312924559999999,101000,236,2020,426,0.0027481387613806875,0.001,90950,1.9188934540748597
13632.255684539676,18282,50.0,-5.31353622,101200,236,2024,427,0.003177524679340422,0.001,91150,1.931784179210663
13656.696291584522,18309,50.0,-5.390941509999999,101400,236,2028,428,0.0026873251050710677,0.001,91350,1.893803939819336
13677.997391730547,18337,50.0,-5.37828393,101600,236,2032,429,0.0030494658020325006,0.001,91550,1.888193051815033
13694.889837346971,18354,50.0,-5.414727740000001,101800,236,2036,429,0.004063751541543752,0.001,91750,1.9202607870101929
13712.650699984282,18376,50.0,-5.437293459999999,102000,236,2040,430,0.0027346131205558777,0.001,91950,1.89055344581604
13728.794447202235,18390,50.0,-5.374286970000001,102200,236,2044,431,0.002851903068367392,0.001,92150,1.9175668501853942
13756.470662411302,18419,50.0,-5.4136256,102400,236,2048,432,0.003327634127344936,0.001,92350,1.943554618358612
13771.978478658944,18438,50.0,-5.36445305,102600,236,2052,433,0.003355161666404456,0.001,92550,1.939280891418457
13790.661118905991,18468,50.0,-5.404186339999999,102800,236,2056,434,0.0031147686834447088,0.001,92750,1.9196622967720032
13808.619965352118,18489,50.0,-5.43622786,103000,236,2060,434,0.002542461904231459,0.001,92950,1.87655526638031
13826.274723187089,18510,50.0,-5.4475780700000005,103200,236,2064,435,0.002584477523341775,0.001,93150,1.9156554961204528
13837.016843862832,18525,50.0,-5.431042239999999,103400,236,2068,436,0.002804614722263068,0.001,93350,1.9091658258438111
13860.898561701179,18547,50.0,-5.469301609999999,103600,236,2072,437,0.0023965489165857436,0.001,93550,1.9025131511688231
13872.5053287521,18560,50.0,-5.468089280000002,103800,237,2076,437,0.00278249577851966,0.001,93750,1.8868178701400757
13902.061658963561,18594,50.0,-5.53162239,104000,237,2080,438,0.0023851910140365363,0.001,93950,1.8647067093849181
13917.044708382338,18611,50.0,-5.5543306800000005,104200,237,2084,439,0.0039041116065345704,0.001,94150,1.8876744604110718
13941.858140226454,18634,50.0,-5.571813919999999,104400,237,2088,440,0.0028289510519243777,0.001,94350,1.8780405879020692
13957.264660973102,18652,50.0,-5.579989270000002,104600,237,2092,440,0.0030633449228480458,0.001,94550,1.8757198357582092
13967.002075072378,18667,50.0,-5.550788609999999,104800,237,2096,441,0.0027433672407642007,0.001,94750,1.8604492378234863
13987.871748052537,18689,50.0,-5.57977797,105000,237,2100,442,0.0027256863564252853,0.001,94950,1.88821307182312
13997.644401352853,18702,50.0,-5.533656809999999,105200,237,2104,443,0.002602141033858061,0.001,95150,1.87351505279541
14020.328055918217,18726,50.0,-5.54822106,105400,237,2108,444,0.0027093694405630232,0.001,95350,1.8810766696929933
14039.843176819384,18744,50.0,-5.5743867499999995,105600,237,2112,444,0.0028233285213354973,0.001,95550,1.8790615391731262
14058.127333920449,18766,50.0,-5.62355865,105800,237,2116,445,0.0029694180912338197,0.001,95750,1.8982965493202208
14075.900297410786,18791,50.0,-5.634430799999999,106000,237,2120,446,0.0028549674013629554,0.001,95950,1.8755008363723755
14090.588878028095,18809,50.0,-5.618013169999999,106200,237,2124,447,0.0030082707991823552,0.001,96150,1.8510472679138184
14099.28037340194,18821,50.0,-5.538453350000001,106400,237,2128,448,0.003008848375175148,0.001,96350,1.9147018361091614
14113.02338411659,18844,50.0,-5.532622869999999,106600,237,2132,448,0.003261417734902352,0.001,96550,1.8763758111000062
14129.474611137062,18867,50.0,-5.53109073,106800,237,2136,449,0.002745711226016283,0.001,96750,1.9045494174957276
14139.481730923057,18878,50.0,-5.5234708999999995,107000,237,2140,450,0.002903749034740031,0.001,96950,1.8621778035163878
14158.834699623287,18900,50.0,-5.545714259999999,107200,237,2144,451,0.0034585562208667396,0.001,97150,1.8658867955207825
14178.46787405014,18924,50.0,-5.549899010000001,107400,237,2148,452,0.002233047557529062,0.001,97350,1.8801286125183105
14193.123211909086,18941,50.0,-5.569866010000001,107600,237,2152,452,0.0034815115970559416,0.001,97550,1.8651562547683715
14212.637214303017,18961,50.0,-5.575509700000001,107800,237,2156,453,0.0023894228087738157,0.001,97750,1.8548099732398986
14223.70804600045,18979,50.0,-5.553116380000001,108000,237,2160,454,0.0028749337908811866,0.001,97950,1.9025885701179504
14234.543829657137,18997,50.0,-5.535771760000001,108200,237,2164,455,0.002940435092896223,0.001,98150,1.859007546901703
14252.640799876302,19015,50.0,-5.54605461,108400,237,2168,456,0.003471447492484003,0.001,98350,1.9054704809188843
14261.950814772397,19028,50.0,-5.48488323,108600,237,2172,457,0.005777842961251735,0.001,98550,1.8876793098449707
14280.948529090732,19052,50.0,-5.488509569999999,108800,237,2176,457,0.0036025259084999563,0.001,98750,1.8639409804344178
14290.692114330828,19067,50.0,-5.4007650699999985,109000,237,2180,458,0.003855899411719292,0.001,98950,1.870325345993042
14307.065912984312,19087,50.0,-5.39344742,109200,237,2184,459,0.002822990715503693,0.001,99150,1.8602473473548888
14324.6146078296,19105,50.0,-5.37256154,109400,237,2188,460,0.003027373286895454,0.001,99350,1.897062313556671
14340.332329317927,19129,50.0,-5.420588250000001,109600,237,2192,461,0.0034346188907511534,0.001,99550,1.8717204236984253
14349.842551607639,19144,50.0,-5.434309359999999,109800,237,2196,462,0.0033471259544603526,0.001,99750,1.8791037178039551
14374.500587537885,19174,50.0,-5.464504089999999,110000,237,2200,462,0.0031740948534570634,0.001,99950,1.875192105770111
14388.650779206306,19197,50.0,-5.538718650000001,110200,237,2204,463,0.0032578143919818102,0.001,100150,1.864485375881195
14395.231546401978,19211,50.0,-5.48938668,110400,237,2208,464,0.003932647544424981,0.001,100350,1.8558078479766846
14411.218827106059,19226,50.0,-5.46609906,110600,237,2212,465,0.0048318783938884734,0.001,100550,1.84947336435318
14421.95635125041,19245,50.0,-5.3914719700000004,110800,237,2216,466,0.00492799771251157,0.001,100750,1.829285545349121
14434.766497850418,19265,50.0,-5.36303079,111000,237,2220,466,0.004038515684660524,0.001,100950,1.8375934076309204
14447.77920812741,19282,50.0,-5.34741486,111200,237,2224,467,0.00405540781095624,0.001,101150,1.84841881275177
14464.112574905157,19299,50.0,-5.3861533999999995,111400,237,2228,468,0.0035616364004090427,0.001,101350,1.8494533157348634
14479.731988854706,19321,50.0,-5.382211699999999,111600,237,2232,469,0.0030507167102769017,0.001,101550,1.8425543737411498
14491.17784852907,19336,50.0,-5.391170669999999,111800,237,2236,470,0.0029373612930066882,0.001,101750,1.8541028499603271
14503.731674417853,19352,50.0,-5.386966779999999,112000,237,2240,471,0.0023934558487962933,0.001,101950,1.9000131678581238
14519.989903189242,19374,50.0,-5.395450249999999,112200,237,2244,472,0.00396483440650627,0.001,102150,1.8402096962928771
14540.647635117173,19402,50.0,-5.421363970000001,112400,237,2248,473,0.002876833614427596,0.001,102350,1.8314304733276368
14558.221892472357,19423,50.0,-5.454750600000001,112600,236,2252,475,0.0027411283971741796,0.001,102550,1.8486949133872985
14570.735955908895,19440,50.0,-5.41900362,112800,236,2256,476,0.0034633599780499935,0.001,102750,1.8361853671073913
14582.103681325912,19456,50.0,-5.40599382,113000,236,2260,477,0.003217019711155444,0.001,102950,1.8439621543884277
14595.637842584401,19475,50.0,-5.424842550000001,113200,236,2264,478,0.004253008104860782,0.001,103150,1.8662562584877014
14601.381657805294,19485,50.0,-5.378976580000001,113400,236,2268,479,0.0032597630401141942,0.001,103350,1.831637225151062
14620.858485147357,19508,50.0,-5.429801740000003,113600,236,2272,480,0.004000256964936852,0.001,103550,1.802895803451538
14636.094154488295,19525,50.0,-5.44823733,113800,236,2276,481,0.0034709864598698914,0.001,103750,1.8563205313682556
14642.128606613725,19537,50.0,-5.450914320000001,114000,236,2280,482,0.002669786788756028,0.001,103950,1.8465488529205323
14658.731500927359,19557,50.0,-5.45176906,114200,236,2284,483,0.0031828461936675013,0.001,104150,1.8570374751091003
14670.822932239622,19575,50.0,-5.4246520799999995,114400,236,2288,484,0.0033844534028321504,0.001,104350,1.8528276586532593
14685.275338526815,19596,50.0,-5.418339390000001,114600,236,2292,485,0.0034339003427885473,0.001,104550,1.8571160817146302
14705.294949404895,19619,50.0,-5.45506811,114800,235,2296,486,0.003473824311513454,0.001,104750,1.8496804809570313
14714.932679954916,19636,50.0,-5.361943800000001,115000,235,2300,487,0.002761214217171073,0.001,104950,1.8635743236541749
14737.007363516837,19660,50.0,-5.371714370000001,115200,235,2304,488,0.0031261278595775366,0.001,105150,1.8373614025115967
14752.452299304307,19683,50.0,-5.406147140000001,115400,235,2308,489,0.003361724072601646,0.001,105350,1.8255593752861023
14769.68983919546,19703,50.0,-5.41220455,115600,235,2312,490,0.004440584606491029,0.001,105550,1.8447997021675109
14779.235314872116,19716,50.0,-5.420770049999999,115800,235,2316,491,0.0031323748477734624,0.001,105750,1.8506981778144835
14798.290378950536,19738,50.0,-5.455392259999999,116000,235,2320,492,0.003684820111375302,0.001,105950,1.8245497250556946
14811.47271508351,19756,50.0,-5.491065410000001,116200,235,2324,493,0.0027400394598953424,0.001,106150,1.865476996898651
14833.122800335288,19782,50.0,-5.507967669999999,116400,235,2328,494,0.00397701721987687,0.001,106350,1.8186838769912719
14860.73244547844,19813,50.0,-5.573809060000001,116600,235,2332,494,0.0029074625088833274,0.001,106550,1.855843276977539
14869.172929354012,19825,50.0,-5.556039020000001,116800,235,2336,495,0.002543616609182209,0.001,106750,1.8335582876205445
14884.601424019784,19844,50.0,-5.54892181,117000,235,2340,496,0.0042200783966109155,0.001,106950,1.8482957792282104
14901.885543126613,19870,50.0,-5.59792093,117200,235,2344,498,0.003873988778796047,0.001,107150,1.8464968371391297
14914.7208147645,19885,50.0,-5.529631930000001,117400,234,2348,499,0.0023774828668683768,0.001,107350,1.8690725183486938
14931.889629818499,19910,50.0,-5.492690840000002,117600,234,2352,500,0.005229707879479974,0.001,107550,1.8421752119064332
14944.28544806689,19925,50.0,-5.494185469999999,117800,234,2356,501,0.003299433075590059,0.001,107750,1.8753882193565368
14951.129333358258,19937,50.0,-5.466577169999999,118000,234,2360,502,0.003158267089165747,0.001,107950,1.840797004699707
14969.100188754499,19962,50.0,-5.482095949999999,118200,234,2364,503,0.0029638915229588747,0.001,108150,1.8505628561973573
14994.299848280847,19992,50.0,-5.61327756,118400,234,2368,505,0.003729224486742169,0.001,108350,1.863543095588684
15006.87222589925,20012,50.0,-5.592884880000001,118600,234,2372,506,0.0035447777481749654,0.001,108550,1.8459519696235658
15025.232164878398,20038,50.0,-5.59399988,118800,234,2376,507,0.0027972684195265176,0.001,108750,1.8083119153976441
15034.224382147193,20052,50.0,-5.6215170599999995,119000,233,2380,508,0.0032213106332346798,0.001,108950,1.8377728819847108
15056.570278268307,20079,50.0,-5.68640434,119200,233,2384,509,0.004072540388442576,0.001,109150,1.8346751499176026
15069.074123118073,20095,50.0,-5.662972020000001,119400,233,2388,511,0.003986240248195827,0.001,109350,1.8374022102355958
15085.972743097693,20118,50.0,-5.670907489999999,119600,233,2392,512,0.0033581318357028067,0.001,109550,1.7942058324813843
15101.08081253618,20140,50.0,-5.653095520000001,119800,233,2396,513,0.0031908086827024816,0.001,109750,1.815221014022827
15113.511024571955,20154,50.0,-5.68697405,120000,233,2400,514,0.0037844080198556184,0.001,109950,1.8098528933525087
15136.14736185968,20180,50.0,-5.66634277,120200,233,2404,515,0.003566198833286762,0.001,110150,1.7770651364326477
15146.350096344948,20194,50.0,-5.638578140000001,120400,233,2408,515,0.003627825586590916,0.001,110350,1.792927680015564
15157.81929075718,20206,50.0,-5.57325658,120600,233,2412,516,0.002817697844002396,0.001,110550,1.8013389015197754
15168.542333830148,20220,50.0,-5.57547199,120800,233,2416,517,0.0033272361080162226,0.001,110750,1.8112850761413575
15187.618286550045,20243,50.0,-5.54523077,121000,233,2420,518,0.0027455141162499785,0.001,110950,1.8456951189041138
15195.92654312402,20256,50.0,-5.503278929999999,121200,233,2424,519,0.0028564227395690978,0.001,111150,1.8174877285957336
15216.155129346997,20286,50.0,-5.56259971,121400,233,2428,519,0.0036512754065915944,0.001,111350,1.8017981672286987
15242.272922810167,20318,50.0,-5.511463259999999,121600,233,2432,520,0.002648095330223441,0.001,111550,1.7901357817649841
15255.612531457096,20332,50.0,-5.47100886,121800,233,2436,521,0.002875042548403144,0.001,111750,1.790561125278473
15264.064455375075,20344,50.0,-5.446949419999999,122000,233,2440,522,0.0037363602640107275,0.001,111950,1.8203070163726807
15286.061546817422,20373,50.0,-5.40845381,122200,233,2444,523,0.004074878783430904,0.001,112150,1.754026951789856
15300.715533357114,20389,50.0,-5.39494345,122400,233,2448,523,0.004675915837287903,0.001,112350,1.8105835342407226
15308.345192093402,20400,50.0,-5.3232167200000005,122600,233,2452,524,0.0036618666513822972,0.001,112550,1.7851181793212891
15332.004407525063,20427,50.0,-5.39683008,122800,233,2456,525,0.003597967722453177,0.001,112750,1.79856205701828
15349.568654604256,20452,50.0,-5.49149799,123000,233,2460,526,0.0035023533774074167,0.001,112950,1.7751665210723877
15367.874454136938,20473,50.0,-5.498280869999999,123200,233,2464,527,0.003592653542291373,0.001,113150,1.8187032890319825
15381.249449551105,20492,50.0,-5.3949034,123400,233,2468,528,0.0029756316286511718,0.001,113350,1.7483078122138977
15394.679694768041,20508,50.0,-5.35134991,123600,233,2472,529,0.0035850458568893375,0.001,113550,1.7726627612113952
15405.676166769117,20521,50.0,-5.28316291,123800,233,2476,530,0.004107625866308809,0.001,113750,1.7648429989814758
15435.979500211775,20554,50.0,-5.365985889999999,124000,233,2480,531,0.0032069188612513246,0.001,113950,1.783821940422058
15452.837992150337,20578,50.0,-5.3039508,124200,233,2484,531,0.0046307383966632185,0.001,114150,1.783196246623993
15471.953947335482,20599,50.0,-5.37487834,124400,233,2488,532,0.004090678403154016,0.001,114350,1.7922337818145753
15486.767589200288,20618,50.0,-5.348267159999999,124600,233,2492,533,0.005084233768284321,0.001,114550,1.8007946491241456
